연번,시도,시군구,읍면동,우편번호,주소
1,서울,강남구,개포1동 주민센터,6321,서울특별시 강남구 선릉로 35 (개포동)
2,서울,강남구,개포2동 주민센터,6328,서울특별시 강남구 개포로 511 (개포동)
3,서울,강남구,개포3동 주민센터,6335,서울특별시 강남구 개포로 615 (개포동)
4,서울,강남구,개포4동 주민센터,6308,서울특별시 강남구 개포로24길 33 (개포동)
5,서울,강남구,논현1동 주민센터,6115,서울특별시 강남구 학동로20길 25 (논현동)
6,서울,강남구,논현2동 주민센터,6058,서울특별시 강남구 학동로43길 17 (논현동)
7,서울,강남구,대치1동 주민센터,6280,서울특별시 강남구 남부순환로391길 19 (대치동)
8,서울,강남구,대치2동 주민센터,6187,서울특별시 강남구 영동대로65길 24 (대치동)
9,서울,강남구,대치4동 주민센터,6204,서울특별시 강남구 도곡로77길 23 (대치동)
10,서울,강남구,도곡1동 주민센터,6269,서울특별시 강남구 도곡로18길 57 (도곡동)
11,서울,강남구,도곡2동 주민센터,6300,서울특별시 강남구 남부순환로378길 34-9 (도곡동)
12,서울,강남구,삼성1동 주민센터,6170,서울특별시 강남구 봉은사로 616 (삼성동)
13,서울,강남구,삼성2동 주민센터,6097,서울특별시 강남구 봉은사로 419 (삼성동)
14,서울,강남구,세곡동 주민센터,6377,서울특별시 강남구 밤고개로 286 (율현동)
15,서울,강남구,수서동 주민센터,6368,"서울특별시 강남구 광평로56길 11 (수서동, 수서동주민센터)"
16,서울,강남구,신사동 주민센터,6029,서울특별시 강남구 압구정로 128 (신사동)
17,서울,강남구,압구정동 주민센터,6004,서울특별시 강남구 압구정로33길 48 (압구정동)
18,서울,강남구,역삼1동 주민센터,6244,서울특별시 강남구 역삼로7길 16 (역삼동)
19,서울,강남구,역삼2동 주민센터,6219,서울특별시 강남구 도곡로43길 25 (역삼동)
20,서울,강남구,일원1동 주민센터,6335,서울특별시 강남구 개포로 615 (개포동)
21,서울,강남구,일원본동 주민센터,6361,서울특별시 강남구 광평로 126 (일원동)
22,서울,강남구,청담동 주민센터,6012,서울특별시 강남구 압구정로79길 26 (청담동)
23,서울,강동구,강일동 주민센터,5211,서울특별시 강동구 아이수로93길 9-14
24,서울,강동구,고덕1동 주민센터,5231,서울특별시 양재대로156길 123
25,서울,강동구,고덕2동 주민센터,5220,서울특별시 아리수로78길 43-12
26,서울,강동구,길동 주민센터,5350,서울특별시 천호대로 1183
27,서울,강동구,둔촌1동 주민센터,5411,서울특별시 양재대로84길 31
28,서울,강동구,둔촌2동 주민센터,5361,서울특별시 천호대로186길 7
29,서울,강동구,명일1동 주민센터,5266,서울특별시 양재대로 1634
30,서울,강동구,명일2동 주민센터,5299,서울특별시 상암로 260
31,서울,강동구,상일1동 주민센터,5276,서울특별시 강동구 구천면로 633
32,서울,강동구,상일2동 주민센터,5416,서울특별시 강동구 고덕로98길 71
33,서울,강동구,성내1동 주민센터,5392,서울특별시 성내로 13
34,서울,강동구,성내2동 주민센터,5379,서울특별시 천호대로 1050
35,서울,강동구,성내3동 주민센터,5405,서울특별시 강동대로53길 76
36,서울,강동구,암사1동 주민센터,5262,서울특별시 올림픽로98가길 57
37,서울,강동구,암사2동 주민센터,5241,서울특별시 상암로3길 28
38,서울,강동구,암사3동 주민센터,5236,서울특별시 고덕로 137
39,서울,강동구,천호1동 주민센터,5312,서울특별시 구천면로42길 59
40,서울,강동구,천호2동 주민센터,5327,서울특별시 올림픽로80길 60
41,서울,강동구,천호3동 주민센터,5334,서울특별시 진황도로23길 7
42,서울,강북구,미아동 주민센터,1133,서울특별시 강북구 솔매로49길 14(미아동)
43,서울,강북구,번1동 주민센터,1064,서울특별시 강북구 덕릉로41길 74(번동)
44,서울,강북구,번2동 주민센터,1145,서울특별시 강북구 한천로 897(번동)
45,서울,강북구,번3동 주민센터,1230,서울특별시 강북구 한천로105길 21(번동)
46,서울,강북구,삼각산동 주민센터,1199,서울특별시 강북구 삼양로19길 34(미아동)
47,서울,강북구,삼양동 주민센터,1127,서울특별시 강북구 솔매로69(미아동)
48,서울,강북구,송중동 주민센터,1233,서울특별시 강북구 오패산로 162(미아동)
49,서울,강북구,송천동 주민센터,1202,서울특별시 강북구 솔샘로 284(미아동)
50,서울,강북구,수유1동 주민센터,1103,서울특별시 강북구 삼양로 299(수유동)
51,서울,강북구,수유2동 주민센터,1040,서울특별시 강북구 한천로 1117(수유동)
52,서울,강북구,수유3동 주민센터,1072,서울특별시 강북구 노해로 36(수유동)
53,서울,강북구,우이동 주민센터,1011,서울특별시 강북구 삼양로 139길 49(수유동)
54,서울,강북구,인수동 주민센터,1021,서울특별시 강북구 인수봉로 255(수유동)
55,서울,강서구,가양1동 주민센터,7529,서울특별시 강서구 허준로 30 (가양동)
56,서울,강서구,가양2동 주민센터,7525,서울특별시 강서구 허준로 93
57,서울,강서구,가양3동 주민센터,7532,서울특별시 강서구 허준로 202
58,서울,강서구,공항동 주민센터,7627,서울특별시 강서구 송정로 45
59,서울,강서구,등촌1동 주민센터,7569,서울특별시 강서구 공항대로53가길 55
60,서울,강서구,등촌2동 주민센터,7671,서울특별시 강서구 등촌로 143
61,서울,강서구,등촌3동 주민센터,7588,서울특별시 강서구 화곡로63길 96
62,서울,강서구,발산1동 주민센터,7633,서울특별시 강서구 강서로47길 54 
63,서울,강서구,방화1동 주민센터,7597,서울특별시 강서구 방화대로 330
64,서울,강서구,방화2동 주민센터,7611,서울특별시 강서구 개화동로21길 52 
65,서울,강서구,방화3동 주민센터,7511,서울특별시 강서구 금낭화로24길 5
66,서울,강서구,염창동 주민센터,7535,서울특별시 강서구 양천로67가길 63
67,서울,강서구,우장산동 주민센터,7690,서울특별시 강서구 우현로 34
68,서울,강서구,화곡1동 주민센터,7772,서울특별시 강서구 곰달래로 79
69,서울,강서구,화곡2동 주민센터,7750,서울특별시 강서구 곰달래로37길 13
70,서울,강서구,화곡3동 주민센터,7713,서울특별시 강서구 강서로33가길 17
71,서울,강서구,화곡4동 주민센터,7740,서울특별시 강서구 곰달래로57가길 26
72,서울,강서구,화곡6동 주민센터,7659,서울특별시 강서구 공항대로46길 105
73,서울,강서구,화곡8동 주민센터,7757,서울특별시 강서구 곰달래로25길 45
74,서울,강서구,화곡본동 주민센터,7677,서울특별시 강서구 초록마을로5길 29
75,서울,관악구,낙성대동 주민센터,8790,서울특별시 관악구 낙성대로4가길 5
76,서울,관악구,난곡동 주민센터,8855,서울특별시 관악구 난곡로30길 40
77,서울,관악구,난향동 주민센터,8859,서울특별시 관악구 난곡로 67
78,서울,관악구,남현동 주민센터,8807,서울특별시 관악구 남현1가길 29
79,서울,관악구,대학동 주민센터,8813,서울특별시 관악구 신림로 111
80,서울,관악구,미성동 주민센터,8864,서울특별시 관악구 난곡로 249
81,서울,관악구,보라매동 주민센터,8720,서울특별시 관악구 봉천로 279-8
82,서울,관악구,삼성동 주민센터,8846,서울특별시 관악구 호암로 589
83,서울,관악구,서림동 주민센터,8845,서울특별시 관악구 신림로29길 6
84,서울,관악구,서원동 주민센터,8778,서울특별시 관악구 신림로 282
85,서울,관악구,성현동 주민센터,8725,서울특별시 관악구 구암길 38
86,서울,관악구,신림동 주민센터,8707,서울특별시 관악구 신림동길 14
87,서울,관악구,신사동 주민센터,8762,서울특별시 관악구 조원로 142
88,서울,관악구,신원동 주민센터,8774,서울특별시 관악구 신원로3길 13-6
89,서울,관악구,은천동 주민센터,8750,서울특별시 관악구 봉천로33나길 30
90,서울,관악구,인헌동 주민센터,8793,서울특별시 관악구 남부순환로246가길 20
91,서울,관악구,조원동 주민센터,8766,서울특별시 관악구 조원로12길 25
92,서울,관악구,중앙동 주민센터,8746,서울특별시 관악구 양녕로6다길 7
93,서울,관악구,청룡동 주민센터,8830,서울특별시 관악구 쑥고개로 44
94,서울,관악구,청림동 주민센터,8730,서울특별시 관악구 관악로40길 39
95,서울,관악구,행운동 주민센터,8739,서울특별시 관악구 행운1길 43
96,서울,광진구,광장동 주민센터,4986,서울특별시 광진구 광장로 52
97,서울,광진구,구의1동 주민센터,5038,서울특별시 광진구 광나루로36길 56
98,서울,광진구,구의2동 주민센터,4979,서울특별시 광진구 천호대로136길 55
99,서울,광진구,구의3동 주민센터,5047,서울특별시 광진구 강변역로 17
100,서울,광진구,군자동 주민센터,4995,서울특별시 광진구 면목로 13
101,서울,광진구,능동 주민센터,4989,서울특별시 광진구 천호대로112길 55
102,서울,광진구,자양1동 주민센터,5058,서울특별시 광진구 자양로13길 37
103,서울,광진구,자양2동 주민센터,5106,서울특별시 광진구 자양로3가길 26
104,서울,광진구,자양3동 주민센터,5091,서울특별시 광진구 뚝섬로 568
