시도,시군구,"행정동(행정기관명)",행정구역분류,행정기관코드,행정기관 생성일
서울특별시,서울특별시,서울특별시,11,1100000000,19880423
서울특별시,종로구,종로구,11010,1111000000,19880423
서울특별시,종로구,청운효자동,11010720,1111051500,20081101
서울특별시,종로구,사직동,11010530,1111053000,19880423
서울특별시,종로구,삼청동,11010540,1111054000,19880423
서울특별시,종로구,부암동,11010550,1111055000,19880423
서울특별시,종로구,평창동,11010560,1111056000,19880423
서울특별시,종로구,무악동,11010570,1111057000,19880423
서울특별시,종로구,교남동,11010580,1111058000,19880423
서울특별시,종로구,가회동,11010600,1111060000,19880423
서울특별시,종로구,종로1.2.3.4가동,11010610,1111061500,20110501
서울특별시,종로구,종로5.6가동,11010630,1111063000,19880423
서울특별시,종로구,이화동,11010640,1111064000,19880423
서울특별시,종로구,혜화동,11010730,1111065000,20120801
서울특별시,종로구,창신제1동,11010670,1111067000,19880423
서울특별시,종로구,창신제2동,11010680,1111068000,19880423
서울특별시,종로구,창신제3동,11010690,1111069000,19880423
서울특별시,종로구,숭인제1동,11010700,1111070000,19880423
서울특별시,종로구,숭인제2동,11010710,1111071000,19880423
서울특별시,중구,중구,11020,1114000000,19880423
서울특별시,중구,소공동,11020520,1114052000,19880423
서울특별시,중구,회현동,11020540,1114054000,19880423
서울특별시,중구,명동,11020550,1114055000,19980914
서울특별시,중구,필동,11020570,1114057000,19980914
서울특별시,중구,장충동,11020580,1114058000,19880423
서울특별시,중구,광희동,11020590,1114059000,19980914
서울특별시,중구,을지로동,11020600,1114060500,20050315
서울특별시,중구,신당동,11020690,1114061500,20130720
서울특별시,중구,다산동,11020700,1114062500,20130720
서울특별시,중구,약수동,11020710,1114063500,20130720
서울특별시,중구,청구동,11020720,1114064500,20130720
서울특별시,중구,신당제5동,11020650,1114065000,19880423
서울특별시,중구,동화동,11020730,1114066500,20130720
서울특별시,중구,황학동,11020670,1114067000,19880423
서울특별시,중구,중림동,11020680,1114068000,19880423
서울특별시,용산구,용산구,11030,1117000000,19880423
서울특별시,용산구,후암동,11030510,1117051000,19880423
서울특별시,용산구,용산2가동,11030520,1117052000,19880423
서울특별시,용산구,남영동,11030530,1117053000,19880423
서울특별시,용산구,청파동,11030710,1117055500,20080630
서울특별시,용산구,원효로제1동,11030720,1117056000,19880423
서울특별시,용산구,원효로제2동,11030570,1117057000,19880423
서울특별시,용산구,효창동,11030580,1117058000,19880423
서울특별시,용산구,용문동,11030590,1117059000,19880423
서울특별시,용산구,한강로동,11030730,1117062500,20080630
서울특별시,용산구,이촌제1동,11030630,1117063000,19880423
서울특별시,용산구,이촌제2동,11030640,1117064000,19880423
서울특별시,용산구,이태원제1동,11030650,1117065000,19880423
서울특별시,용산구,이태원제2동,11030660,1117066000,19880423
서울특별시,용산구,한남동,11030740,1117068500,20080630
서울특별시,용산구,서빙고동,11030690,1117069000,19880423
서울특별시,용산구,보광동,11030700,1117070000,19880423
서울특별시,성동구,성동구,11040,1120000000,19880423
서울특별시,성동구,왕십리제2동,11040520,1120052000,19880423
서울특별시,성동구,왕십리도선동,11040710,1120053500,20080811
서울특별시,성동구,마장동,11040540,1120054000,19880423
서울특별시,성동구,사근동,11040550,1120055000,19880423
서울특별시,성동구,행당제1동,11040560,1120056000,19880423
서울특별시,성동구,행당제2동,11040570,1120057000,19880423
서울특별시,성동구,응봉동,11040580,1120058000,19880423
서울특별시,성동구,금호1가동,11040590,1120059000,19880423
서울특별시,성동구,금호2.3가동,11040720,1120061500,20080811
서울특별시,성동구,금호4가동,11040620,1120062000,19880423
서울특별시,성동구,옥수동,11040730,1120064500,20080811
서울특별시,성동구,성수1가제1동,11040650,1120065000,19880423
서울특별시,성동구,성수1가제2동,11040660,1120066000,19880423
서울특별시,성동구,성수2가제1동,11040670,1120067000,19880423
서울특별시,성동구,성수2가제3동,11040680,1120069000,19880423
서울특별시,성동구,송정동,11040690,1120072000,19880423
서울특별시,성동구,용답동,11040700,1120079000,19880423
서울특별시,광진구,광진구,11050,1121500000,19950301
서울특별시,광진구,화양동,11050530,1121571000,19950301
서울특별시,광진구,군자동,11050540,1121573000,19950301
서울특별시,광진구,중곡제1동,11050550,1121574000,19950301
서울특별시,광진구,중곡제2동,11050560,1121575000,19950301
서울특별시,광진구,중곡제3동,11050570,1121576000,19950301
서울특별시,광진구,중곡제4동,11050580,1121577000,19950301
서울특별시,광진구,능동,11050590,1121578000,19950301
서울특별시,광진구,광장동,11050630,1121581000,19950301
서울특별시,광진구,자양제1동,11050640,1121582000,19950301
서울특별시,광진구,자양제2동,11050650,1121583000,19950301
서울특별시,광진구,자양제3동,11050660,1121584000,19950301
서울특별시,광진구,자양제4동,11050670,1121584700,20080101
