기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,일반_점포_수,프랜차이즈_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수
20261,11740700,둔촌2동,CS300043,전자상거래업,34,34,0,0,0,3,1
20261,11740700,둔촌2동,CS300042,주유소,6,6,0,0,0,17,1
20261,11740700,둔촌2동,CS300041,예술품,3,3,0,0,0,0,0
20261,11740700,둔촌2동,CS300040,재생용품 판매점,3,3,0,0,0,0,0
20261,11740700,둔촌2동,CS300039,모터사이클및부품,2,2,0,0,0,0,0
20261,11740700,둔촌2동,CS300038,자동차부품,5,4,1,0,0,0,0
20261,11740700,둔촌2동,CS300037,중고차판매,1,1,0,0,0,0,0
20261,11740700,둔촌2동,CS300036,조명용품,10,10,0,0,0,0,0
20261,11740700,둔촌2동,CS300035,인테리어,12,12,0,0,0,0,0
20261,11740700,둔촌2동,CS300034,악기,1,1,0,0,0,0,0
20261,11740700,둔촌2동,CS300033,철물점,9,9,0,0,0,0,0
20261,11740700,둔촌2동,CS300032,가전제품,4,4,0,0,0,0,0
20261,11740700,둔촌2동,CS300031,가구,9,9,0,0,0,0,0
20261,11740700,둔촌2동,CS300029,애완동물,9,9,0,0,0,11,1
20261,11740700,둔촌2동,CS300028,화초,20,20,0,5,1,0,0
20261,11740700,둔촌2동,CS300027,섬유제품,7,7,0,14,1,0,0
20261,11740700,둔촌2동,CS300026,완구,3,3,0,0,0,0,0
20261,11740700,둔촌2동,CS300025,자전거 및 기타운송장비,3,3,0,0,0,0,0
20261,11740700,둔촌2동,CS300024,운동/경기용품,12,12,0,8,1,0,0
20261,11740700,둔촌2동,CS300023,미용재료,1,1,0,0,0,0,0
20261,11740700,둔촌2동,CS300022,화장품,13,13,0,15,2,8,1
20261,11740700,둔촌2동,CS300021,문구,4,3,1,0,0,0,0
20261,11740700,둔촌2동,CS300020,서적,7,7,0,14,1,0,0
20261,11740700,둔촌2동,CS300019,의료기기,16,16,0,0,0,0,0
20261,11740700,둔촌2동,CS300018,의약품,21,20,1,0,0,0,0
20261,11740700,둔촌2동,CS300017,시계및귀금속,5,5,0,20,1,0,0
20261,11740700,둔촌2동,CS300016,안경,3,2,1,0,0,0,0
20261,11740700,둔촌2동,CS300015,가방,3,3,0,0,0,0,0
20261,11740700,둔촌2동,CS300014,신발,2,2,0,0,0,0,0
20261,11740700,둔촌2동,CS300013,유아의류,1,1,0,0,0,0,0
20261,11740700,둔촌2동,CS300012,한복점,1,1,0,0,0,0,0
20261,11740700,둔촌2동,CS300011,일반의류,41,41,0,0,0,2,1
20261,11740700,둔촌2동,CS300010,반찬가게,15,13,2,7,1,0,0
20261,11740700,둔촌2동,CS300009,청과상,20,20,0,0,0,0,0
20261,11740700,둔촌2동,CS300008,수산물판매,7,7,0,0,0,0,0
20261,11740700,둔촌2동,CS300007,육류판매,17,17,0,0,0,0,0
20261,11740700,둔촌2동,CS300006,미곡판매,15,15,0,0,0,0,0
20261,11740700,둔촌2동,CS300005,주류도매,8,8,0,0,0,0,0
20261,11740700,둔촌2동,CS300004,핸드폰,9,9,0,0,0,0,0
20261,11740700,둔촌2동,CS300003,컴퓨터및주변장치판매,8,8,0,0,0,13,1
20261,11740700,둔촌2동,CS300002,편의점,15,5,10,0,0,7,1
20261,11740700,둔촌2동,CS300001,슈퍼마켓,26,18,8,0,0,0,0
20261,11740700,둔촌2동,CS200047,가정용품임대,2,2,0,0,0,0,0
20261,11740700,둔촌2동,CS200046,의류임대,3,3,0,0,0,0,0
20261,11740700,둔촌2동,CS200044,여행사,2,2,0,0,0,0,0
20261,11740700,둔촌2동,CS200043,건축물청소,9,9,0,0,0,0,0
20261,11740700,둔촌2동,CS200042,통번역서비스,4,4,0,0,0,0,0
20261,11740700,둔촌2동,CS200041,사진관,6,6,0,0,0,17,1
20261,11740700,둔촌2동,CS200038,독서실,7,7,0,0,0,14,1
20261,11740700,둔촌2동,CS200037,노래방,8,7,1,0,0,0,0
20261,11740700,둔촌2동,CS200034,여관,7,7,0,29,2,29,2
20261,11740700,둔촌2동,CS200033,부동산중개업,90,90,0,0,0,1,1
20261,11740700,둔촌2동,CS200032,가전제품수리,11,11,0,0,0,0,0
20261,11740700,둔촌2동,CS200031,세탁소,15,11,4,0,0,0,0
20261,11740700,둔촌2동,CS200030,피부관리실,15,15,0,0,0,0,0
20261,11740700,둔촌2동,CS200029,네일숍,7,7,0,0,0,14,1
20261,11740700,둔촌2동,CS200028,미용실,71,68,3,1,1,0,0
20261,11740700,둔촌2동,CS200027,모터사이클수리,2,2,0,0,0,0,0
20261,11740700,둔촌2동,CS200026,자동차미용,3,3,0,0,0,33,1
20261,11740700,둔촌2동,CS200025,자동차수리,18,15,3,0,0,0,0
20261,11740700,둔촌2동,CS200024,스포츠클럽,12,10,2,8,1,0,0
20261,11740700,둔촌2동,CS200023,통신기기수리,1,1,0,0,0,0,0
20261,11740700,둔촌2동,CS200022,복권방,1,1,0,0,0,0,0
20261,11740700,둔촌2동,CS200021,기타오락장,2,2,0,50,1,0,0
20261,11740700,둔촌2동,CS200019,PC방,3,2,1,0,0,33,1
20261,11740700,둔촌2동,CS200017,골프연습장,8,8,0,0,0,0,0
20261,11740700,둔촌2동,CS200016,당구장,9,9,0,0,0,0,0
20261,11740700,둔촌2동,CS200015,세무사사무소,7,7,0,0,0,0,0
20261,11740700,둔촌2동,CS200013,기타법무서비스,3,3,0,0,0,0,0
20261,11740700,둔촌2동,CS200012,법무사사무소,2,2,0,0,0,0,0
